sent10	Tuvia Tzafir	Live_In	Israel
sent27	Lazio	Live_In	Umbria
sent27	Lazio	Live_In	Italy
sent27	Lazio	Live_In	Campania province
sent34	Reagan	Live_In	America
sent35	Reagan	Live_In	Washington
sent37	Reagan	Live_In	Iran
sent37	Reagan	Live_In	America
sent46	W. Dale Nelson	Live_In	House
sent50	Nixon	Live_In	Texas
sent50	Nixon	Live_In	U.S.
sent52	Ralph K. Winter	Live_In	New York City
sent52	Kenneth Starr	Live_In	New York City
sent60	Starr	Live_In	of Columbia
sent60	William French Smith	Live_In	of Columbia
sent60	Robert Bork	Live_In	of Columbia
sent68	Wright	Live_In	Arizona
sent68	Barry Goldwater	Live_In	Arizona
sent70	STOCKTON	Live_In	England
sent70	Michael Minns	Live_In	England
sent78	James G. Blight	Live_In	Cuba
sent78	David A. Welch	Live_In	Cuba
sent83	Kennedy	Live_In	U.S.
sent88	Aleksander Alekseev	Live_In	Cuba
sent89	Alekseev	Live_In	Moscow
sent105	Franca Chlistovsky	Live_In	Brera
sent105	Franca Chlistovsky	Live_In	Milan
sent110	Judy Kaye	Live_In	New York Opera Repertory Theater
sent110	Abbie	Live_In	New York Opera Repertory Theater
sent118	Leigh Gibbs Gore	Live_In	New York Opera Repertory Theater
sent119	Composer Thomas	Live_In	Chisholm
sent119	Composer Thomas	Live_In	Minn
sent137	Wells	Live_In	Davisville
sent137	Wells	Live_In	R.I.
sent137	Wells	Live_In	Texas
sent139	Andrews Lock	Live_In	Henry County
sent139	Andrews Lock	Live_In	Ala.
sent142	Andrews Lock	Live_In	Early County
sent142	Andrews Lock	Live_In	Ga.
sent161	Duchess of York	Live_In	Britain
sent161	Duchess of York	Live_In	Philippines
sent161	Imelda Marcos	Live_In	Britain
sent161	Imelda Marcos	Live_In	Philippines
sent161	Blackwell	Live_In	Britain
sent161	Blackwell	Live_In	Philippines
sent161	Richard Sylvan Selzer	Live_In	Britain
sent161	Richard Sylvan Selzer	Live_In	Philippines
sent173	Hoffman	Live_In	Fresno
sent173	Brent	Live_In	Fresno
sent188	June Anderson	Live_In	Moscow
sent188	June Anderson	Live_In	Bolshoi Ballet
sent188	June Anderson	Live_In	Leningrad
sent188	June Anderson	Live_In	Kirov Ballet
sent188	June Anderson	Live_In	Yerevan
sent188	June Anderson	Live_In	U.S.
sent188	Carol Vaness	Live_In	Moscow
sent188	Carol Vaness	Live_In	Bolshoi Ballet
sent188	Carol Vaness	Live_In	Leningrad
sent188	Carol Vaness	Live_In	Kirov Ballet
sent188	Carol Vaness	Live_In	Yerevan
sent188	Carol Vaness	Live_In	U.S.
sent195	Michael D. Papagiannis	Live_In	Earth
sent197	Ostined	Live_In	Liberec
sent197	Ostined	Live_In	Czechoslovakia
sent197	Ostined	Live_In	Gmund
sent197	Ostined	Live_In	Austria
sent197	Lesny	Live_In	Liberec
sent197	Lesny	Live_In	Czechoslovakia
sent197	Lesny	Live_In	Gmund
sent197	Lesny	Live_In	Austria
sent207	Johnny Paul Penry	Live_In	Texas
sent208	Charles A. Palmer	Live_In	Texas
sent208	Penry	Live_In	Texas
sent210	Penry	Live_In	Livingston
sent210	Penry	Live_In	Texas
sent210	Pamela Moseley Carpenter	Live_In	Livingston
sent210	Pamela Moseley Carpenter	Live_In	Texas
sent278	Herbert S. Okun	Live_In	U.S.
sent278	Herbert S. Okun	Live_In	Washington
sent281	Vernon A. Walters	Live_In	U.S.
sent282	Ali Sunni Muntasser	Live_In	Libya
sent285	Yves Fortier	Live_In	Canada
sent286	M. Pierre Brochand	Live_In	France
sent302	Reagan	Live_In	U.S.
sent327	Bob Boyd	Live_In	Chattanooga
